R,xi=-1.0,xi=-0.75,xi=-0.5,xi=-0.25,xi=0.0,xi=0.25,xi=0.5,xi=0.75,xi=1.0
2.1895337060698656,1.64236662573333,1.8200821882740097,1.9939592397684986,2.1635953591855244,2.328530581425365,2.488240494378374,2.6421216585979455,2.7894821817566564,2.9295269698830255
2.1628773383001247,1.638276915184142,1.8164996240905384,1.9908787411596047,2.161006120743305,2.3264170682045804,2.486580622043139,2.6408848002197503,2.7886269146593228,2.9289984167335463
2.136545497136531,1.6341795590474102,1.8129091785027611,1.9877892710742202,2.1584076826737784,2.324295355788025,2.4849131166452505,2.639641310077842,2.7877662405632044,2.928465753271335
2.1105342316462714,1.6300749335082272,1.8093106251283353,1.9846908943773216,2.1558006112915113,2.3221650693617644,2.4832377390195837,2.638390905724615,2.7869000014837524,2.9279290598371435
2.0848396389969657,1.625962950896336,1.8057039488343454,1.981584174072047,2.1531851672112023,2.320026216555108,2.481554695405505,2.6371338871657364,2.78602823888674,2.9273881489693068
2.0594578638710686,1.6218431243676414,1.8020888341347758,1.9784689855779247,2.150561109992988,2.317878988841989,2.4798636887897585,2.635869795750385,2.7851509102141665,2.92684318656154
2.0343850978874056,1.6177158827427085,1.7984653156837427,1.975345189826325,2.1479280984129283,2.3157231793656314,2.478164867670081,2.634598947619036,2.784267874896137,2.9262939122434397
2.009617579029746,1.6135813246093473,1.7948336487929788,1.9722123925770927,2.1452860851355506,2.31355893690706,2.4764581658670646,2.6333211410323787,2.783379344888555,2.9257405127225926
1.9851515910823356,1.6094387804570538,1.7911934852874087,1.969070714771977,2.1426353428398732,2.3113859585574574,2.474743390223085,2.6320358700906694,2.782484597976922,2.9251827097187895
1.9609834630723033,1.6052883877095088,1.7875449534000627,1.965920386433803,2.139975585204918,2.3092044088770414,2.4730208519198174,2.6307438754291383,2.7815841345586327,2.9246202401178096
1.9371095687188509,1.6011305413972639,1.7838881621638722,1.962761054175032,2.1373069841528456,2.307014219224678,2.4712898385686755,2.629445219130067,2.780678412534341,2.924053875872561
1.9135263258891528,1.5969650880919,1.780222659276163,1.9595929444673406,2.13462938145518,2.304815187008991,2.469550661536063,2.628139355653738,2.7797668660351595,2.9234834281412105
1.8902301960608803,1.5927919737299212,1.776548743031417,1.9564159245759942,2.131942671777672,2.302607623644085,2.467803752212158,2.6268261531320576,2.7788492246669962,2.922908331279313
1.8672176837912653,1.588611123965422,1.7728664943045158,1.9532297900325108,2.1292471047661525,2.300391007245484,2.4660488327935637,2.625505819685154,2.7779256874212783,2.922328742588052
1.844485336192632,1.5844222019823337,1.7691753669208665,1.9500348762070516,2.126542197153545,2.2981656815740474,2.4642855023425536,2.624178279963501,2.7769962617928905,2.9217447544704025
1.822029742414312,1.5802254237544882,1.7654757565048065,1.94683077774997,2.1238282640388,2.2959315864426197,2.4625138582138697,2.622843543553605,2.7760608994114477,2.9211563144582215
1.7998475331308652,1.5760209543581754,1.7617677701397136,1.9436175543564431,2.121105294851554,2.293688094231241,2.4607339911435835,2.6215014007692043,2.7751194548754907,2.9205633069952293
1.7779353800365358,1.5718084012789357,1.7580507100421294,1.9403955199959704,2.1183728410390956,2.2914357763388487,2.4589457845253664,2.6201520074096627,2.774172022454848,2.91996577360747
1.756289995345858,1.5675879142141365,1.7543248444532682,1.9371640589307837,2.1156314235899405,2.289174791664591,2.4571492766654135,2.618795120094769,2.773218401612548,2.919363596749067
1.7349081313003443,1.5633596390836735,1.7505905261444596,1.9339234505691651,2.112880626155219,2.2869048969434513,2.455344244832574,2.617430860223652,2.7722587178124103,2.9187568265472916
1.7137865796811793,1.5591231618592767,1.7468475338197642,1.9306739881235466,2.1101200955638926,2.2846256926793154,2.453530895894866,2.6160591176505874,2.771292794755031,2.9181453555332335
1.6929221713278466,1.5548785787254058,1.743095865246209,1.927414849395762,2.1073504297925916,2.2823373421702313,2.45170889907407,2.614679806481124,2.7703206845339627,2.917529207525089
1.6723117756626138,1.550626161188027,1.7393352698487987,1.9241462164520626,2.104571651878247,2.2800399299258345,2.4498784482428335,2.61329307822755,2.769342330704696,2.9169083209782367
1.6519523002208099,1.5463655496245956,1.7355656577475456,1.9208686088017453,2.1017835810839345,2.277733289675867,2.4480394364328566,2.6118983097328616,2.7683575975400254,2.9162826265963675
1.6318406901868192,1.5420965688208035,1.7317873272687871,1.917581864919607,2.0989858318412065,2.275417549692628,2.4461916986673042,2.6104959445532807,2.767366690149324,2.9156522030909073
1.6119739279357248,1.5378196462493274,1.7280000369663793,1.9142858716461437,2.0961785091433978,2.2730923747287646,2.4443355343293387,2.6090862696978387,2.7663688862861138,2.9150164653054222
1.592349032580532,1.533534675126786,1.7242037500722915,1.9109802525090709,2.09336180531334,2.27075802436031,2.442470223342576,2.6076689075029655,2.7653646858535845,2.914375980547191
1.572963059524905,1.5292410731031771,1.720398681752605,1.9076651087549836,2.0905354294712355,2.268414291419437,2.44059609588761,2.6062435417551675,2.7643545294654115,2.913731052432766
1.553813100021347,1.5249390998536068,1.7165844530044903,1.9043406896518063,2.0876995972315022,2.266061115130252,2.438713562419336,2.6048103798106435,2.763337863091953,2.913081036491062
1.5348962807347621,1.5206290857350384,1.7127611434039933,1.9010066386329811,2.0848540513805176,2.263698734321734,2.4368223504052793,2.603369362441888,2.76231440762254,2.9124258778760983
1.516209763311327,1.5163108241623453,1.7089290146633749,1.8976631586707673,2.081998806297963,2.261326609406142,2.4349220677896963,2.6019204972004153,2.7612843627428516,2.9117656994515917
